,MOVIES,RATING,PLOT,VOTES,RunTime,Gross,MOVIE ID,is_tv_movie,is_tv_special,is_tv_short,is_video_game
139,Heist,6.8,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,846,41.0,,2648,0,0,0,0
140,The Woman in the Window,5.7,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.","57,048",100.0,,6110,0,0,0,0
141,Black Summer,6.5,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.","25,453",40.0,,1126,0,0,0,0
142,Katla,7.1,"One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.","8,391",,,3185,0,0,0,0
143,Gone Girl,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","895,888",149.0,$167.77M,2444,0,0,0,0
144,Jumanji: Welcome to the Jungle,6.9,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","337,900",119.0,$404.52M,3129,0,0,0,0
145,American Psycho,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","517,014",101.0,$15.07M,746,0,0,0,0
146,House of Cards,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"476,656",51.0,,2778,0,0,0,0
147,Miraculous: Tales of Ladybug & Cat Noir,7.7,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.","8,300",20.0,,3864,0,0,0,0
148,Mayor Grom: Chumnoy Doktor,6.3,Police Major Igor Grom is known throughout St. Petersburg for his penetrative character and irreconcilable attitude towards criminals of all stripes. But everything changes dramatically ...                See full summary »,"8,466",136.0,,3766,0,0,0,0
149,Demon Slayer: Kimetsu No Yaiba,8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","46,259",25.0,,1756,0,0,0,0
150,Jane the Virgin,7.8,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated.","41,758",60.0,,3001,0,0,0,0
151,The Good Wife,8.3,"Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.","70,021",43.0,,5670,0,0,0,0
152,The Good Place,8.2,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,"127,417",22.0,,5668,0,0,0,0
153,The Americans,8.4,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family.","88,962",44.0,,5454,0,0,0,0
154,Glee,6.7,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,"139,934",44.0,,2409,0,0,0,0
155,Bo Burnham: Inside,8.7,"A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year.","31,108",87.0,,1163,0,1,0,0
156,Kill Bill: Vol. 1,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","1,034,554",111.0,$70.10M,3226,0,0,0,0
157,Bartkowiak,5.0,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.",398,91.0,,981,0,0,0,0
158,Castlevania,8.3,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,"51,802",23.0,,1348,0,0,0,0
159,300,7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,"751,815",117.0,$210.61M,475,0,0,0,0
